,title,artist,top genre,year,country,val
757,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,indonesia,43
966,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,malasya,43
776,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66
532,105 F Remix,KEVVO,perreo,2019,chile,74
584,105 F Remix,KEVVO,perreo,2019,spain,74
434,200 km/h,Apache 207,german hip hop,2019,germany,41
190,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45
313,3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,brazil,53
813,7 rings,Ariana Grande,dance pop,2019,israel,33
198,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64
727,8 Parche,Baani Sandhu,punjabi pop,2019,india,73
686,93% [Tijuana],GLK,francoton,2019,france,80
328,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63
590,A Dónde Vamos,Morat,colombian pop,2019,spain,96
337,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83
43,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86
81,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86
182,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86
241,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86
388,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86
636,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86
897,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71
298,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72
107,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62
259,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62
458,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62
508,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62
559,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62
485,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97
175,Adore You,Harry Styles,dance pop,2019,australia,57
983,Adore You,Harry Styles,dance pop,2019,malasya,57
782,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22
97,Akulaleki,Samthing Soweto,afro house,2019,africa,34
330,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67
479,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81
548,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69
432,Alien,RIN,german cloud rap,2019,germany,85
4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35
54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,africa,35
154,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,australia,35
204,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,belgium,35
251,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,bolivia,35
352,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,canada,35
402,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,germany,35
501,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,chile,35
552,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,spain,35
602,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,usa,35
653,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,france,35
853,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,italy,35
900,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,japan,35
954,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,malasya,35
578,Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,spain,70
291,Amor a Primera Vista,Los Angeles Azules,grupera,2019,bolivia,95
787,April,Fiersa Besari,indonesian indie,2014,indonesia,57
683,Aristocrate,Heuss L'enfoiré,french hip hop,2019,france,63
289,Atrévete,Nicky Jam,latin,2019,bolivia,59
688,Avant toi,Vitaa,francoton,2019,france,25
114,Aventura,Lunay,latin,2019,argentina,88
267,Aventura,Lunay,latin,2019,bolivia,88
465,Aventura,Lunay,latin,2019,colombia,88
513,Aventura,Lunay,latin,2019,chile,88
563,Aventura,Lunay,latin,2019,spain,88
488,Aventurero,Yeison Jimenez,colombian pop,2019,colombia,90
412,Ayy Macarena,Tyga,pop rap,2019,germany,72
864,Ayy Macarena,Tyga,pop rap,2019,italy,72
334,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,brazil,85
533,B11 (feat. Myke Towers),Rvssian,latin,2019,chile,20
582,B11 (feat. Myke Towers),Rvssian,latin,2019,spain,20
611,BOP,DaBaby,nc hip hop,2019,usa,84
885,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,italy,28
185,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,australia,56
383,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,canada,68
394,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,canada,54
643,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,usa,54
674,Baianá,Bakermat,deep euro house,2019,france,49
605,Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,usa,43
