,Unnamed: 0,title,artist,top genre,year,country,val,dur,albums
2,776,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66,166,The Sailor
3,532,105 F Remix,KEVVO,perreo,2019,chile,74,464,105 F Remix
4,584,105 F Remix,KEVVO,perreo,2019,spain,74,464,105 F Remix
5,434,200 km/h,Apache 207,german hip hop,2019,germany,41,163,200 km/h
6,190,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45,220,Learning To Crawl [Expanded and Remastered]
8,813,7 rings,Ariana Grande,dance pop,2019,israel,33,179,"thank u, next"
9,198,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64,210,The Writing's On The Wall
10,727,8 Parche,Baani Sandhu,punjabi pop,2019,india,73,210,8 Parche
11,686,93% [Tijuana],GLK,francoton,2019,france,80,223,93% [Tijuana]
12,328,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63,183,Festival Flamenco Gitano
13,590,A Dónde Vamos,Morat,colombian pop,2019,spain,96,203,A Dónde Vamos
14,337,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83,238,O Embaixador in Cariri (Ao Vivo)
15,43,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86,133,20 1's Christmas
16,81,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86,133,20 1's Christmas
17,182,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86,133,20 1's Christmas
18,241,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86,133,20 1's Christmas
19,388,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86,133,20 1's Christmas
20,636,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86,133,20 1's Christmas
21,897,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71,149,FSK TRAPSHIT REVENGE
22,298,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72,257,Adan y Eva
23,107,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62,271,Adicto
24,259,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62,271,Adicto
25,458,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62,271,Adicto
26,508,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62,271,Adicto
27,559,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62,271,Adicto
