,title,artist,top genre,year,country,val,albums
2,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66,100 Degrees
3,105 F Remix,KEVVO,perreo,2019,chile,74,105 F Remix
4,105 F Remix,KEVVO,perreo,2019,spain,74,105 F Remix
5,200 km/h,Apache 207,german hip hop,2019,germany,41,200 km/h
6,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45,2000 Miles (2007 Remaster)
8,7 rings,Ariana Grande,dance pop,2019,israel,33,7 rings
9,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64,8 Days of Christmas
10,8 Parche,Baani Sandhu,punjabi pop,2019,india,73,8 Parche
11,93% [Tijuana],GLK,francoton,2019,france,80,93% [Tijuana]
12,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63,Jaleo
13,A Dónde Vamos,Morat,colombian pop,2019,spain,96,A Dónde Vamos
14,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83,A Gente Fez Amor (Ao Vivo)
15,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86,A Holly Jolly Christmas (Single Version)
16,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86,A Holly Jolly Christmas (Single Version)
17,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86,A Holly Jolly Christmas (Single Version)
18,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86,A Holly Jolly Christmas (Single Version)
19,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86,A Holly Jolly Christmas (Single Version)
20,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86,A Holly Jolly Christmas (Single Version)
21,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71,ANSIA NO
22,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72,Adan y Eva
23,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62,Adicto
24,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62,Adicto
25,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62,Adicto
26,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62,Adicto
27,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62,Adicto
28,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97,Adonay
29,Adore You,Harry Styles,dance pop,2019,australia,57,Adore You
30,Adore You,Harry Styles,dance pop,2019,malasya,57,Adore You
31,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22,Adu Rayu
32,Akulaleki,Samthing Soweto,afro house,2019,africa,34,Akulaleki (Radio Edit)
33,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67,Algo Mais (Amante) (Ao Vivo)
34,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81,Alguien Me Gusta
35,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69,Algún Día Volveras
36,Alien,RIN,german cloud rap,2019,germany,85,Alien
37,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35,All I Want for Christmas Is You
